organisme;salaire;trailer;CDI_CDD;lieu;experience;salaire mini;salaire maxi
Kaino Consulting;A partir de 35 k€ brut annuel ;"Mission :  Vous prenez un poste de Business / Data Analyst et accompagnez les interlocuteurs de votre domaine métier en participant notamment à :  La définition et la mesure des KPI; La mise en place et l'automatisation des rapports et des tableaux de bord pour le pilotage de...";CDI ;Paris 01 - 75 ;Minimum 2 ans;35;35
HARNHAM;90 - 110 k€ brut annuel ;"LE RÔLE :  Vous rapporterez directement au CTO et intégrerez l’équipe en tant que Head of Data :   Définir la stratégie Data. ; Manager une équipe de 10 personnes composées de 2 Data Scientists, 2 Data Engineers, 2 Data Analysts et 3 BI. ; Faire évoluer une équipe Data...";CDI ;Paris 02 - 75 ;Minimum 7 ans;90;110
Kaino Consulting;A partir de 45 k€ brut annuel ;"Mission :  Vous prenez un poste de Data Product Owner et participez au développement de la solution d'analyse, de prédiction et d'amélioration d'offre de mobilité   Parmi vos missions :  L'orientation des développements du produit (plateforme analytics); L'interaction avec les...";CDI ;Lyon 01 - 69 ;Minimum 3 ans;45;45
Kaino Consulting;A partir de 45 k€ brut annuel ;"Mission :  Vous prenez un poste de Data Product Owner et participez au développement de la solution d'analyse, de prédiction et d'amélioration d'offre de mobilité   Parmi vos missions :  L'orientation des développements du produit (plateforme analytics); L'interaction avec les...";CDI ;Paris 01 - 75 ;Minimum 3 ans;45;45
Rose Barkaoui;A partir de 38 k€ brut annuel ;Missions :  StarClay (ESN 100% Data) a gagné 3 gros projets pour la mise en œuvre et l'industrialisation de projets IA et Big Data. Nous recherchons donc 15-20 profils de Data Engineer (de junior à expert) pour nos clients.  Les principales activités sont :  Traitement batch de...;CDI ;Puteaux - 92 ;Tous niveaux d'expérience acceptés;38;38
DATAROCKSTARS;20 - 25 k€ brut annuel ;Nous sommes à la recherche d'un(e) alternant(e) en relation publique et média sociaux pour travailler sur l’administration quotidienne des réseaux sociaux, conceptualiser et produire du contenu afin de soutenir l’ensemble de la gestion de DATAROCKSTARS.AI. Le candidat idéal est...;CDD et Alternance – Contrat de professionnalisation ;Puteaux - 92 ;Minimum 1 an;20;25
CITECH;45 - 62 k€ brut annuel ;CITECH recrute ! ??  ? Si vous souhaitez apporter vos compétences dans la réalisation de différents projets, nous avons LA mission pour vous ! Nous recherchons en effet un(e) Data Analyst (H/F).  ?? Votre mission est pour un client reconnu dans le secteur bancaire, implanté dans...;CDI ;Aix-en-Provence - 13 ;Minimum 3 ans;45;62
PRICEWATERHOUSECOOPERS AUDIT;75 - 100 k€ brut annuel ;"Cette fonction s'inscrit dans le cadre du développement de l'utilisation de la Data chez PwC.   Le CDO est à la tête du Data Excellence Center, dont la responsabilité couvre les domaines :  ? Master & Metadata ;  ? Policies ;  ? Architecture Data ;  ? Reporting & Analytics ;  ?...";CDI ;Neuilly-sur-Seine - 92 ;Minimum 10 ans;75;100
DANEM PEOPLE FRANCE;85 - 90 k€ brut annuel ;Description du poste  Vous souhaitez mettre en œuvre et développer vos compétences en tant que « Product Owner Data & IA sur des projets à fort impact dans un marché en évolution rapide ?  Vous voulez travailler dans une équipe dynamique aussi passionnée que compétente et...;CDI ;Paris 01 - 75 ;Minimum 5 ans;85;90
FRG Technologie consulting;55 - 85 k€ brut annuel ;Description du poste et de l'entreprise :    Nous recherchons un(e) Data Science manager, chef de projet Data Science avec un bon background en data science ( minimum 4 ans) ou Data analyse.  Le poste consisterait à encadrer environ 4 personnes et à gérer plusieurs comptes...;CDI ;Paris 15 - 75 ;Minimum 5 ans;55;85
TEOLIA CONSULTING;A partir de 38 k€ brut annuel ;En tant que Data Engineer, tu accompagneras nos clients et leurs équipes sur la mise en place et l'enrichissement de leurs plateformes data centric au service de leur performance et optimisation opérationnelles.    Vos missions en tant que Data Engineer :  · Développer des flux...;CDI ;Neuilly-sur-Seine - 92 ;Minimum 1 an;38;38
UPMAN CONSULTING;30 - 45 k€ brut annuel ;????? ?? ?? ??? ?? ! ??  UpMan Consulting recrute plus que jamais ! C’est maintenant ou never !  Nous recherchons les futurs ambassadeurs Data Engineer, pour intervenir chez nos clients grands comptes de la métropole lilloise.    Tu travailleras dans une ambiance accueillante,...;CDI ;Lille - 59 ;Minimum 2 ans;30;45
PENELOPE KAVALIAUSKAS;A partir de 40 k€ brut annuel ;"Votre mission :  Concevoir, développer et tester des algorithmes de collecte et de traitement de gros volumes de données sous Scala, Python ou Java; Automatiser et optimiser les flux de données et leurs visualisations en dashboards; Industrialiser les traitements, la qualité et...";CDI ;Paris 08 - 75 ;Minimum 3 ans;40;40
INVIVOO Software;40 - 70 k€ brut annuel ;| Contexte  Le développeur Big Data contribue directement aux projets des directions métier (ex : fraude santé, multi équipements, pricing IARD, optimisation du lead management, fragilité auto, …) et à la construction du socle technique Big Data.   | Mission  Il a pour missions...;CDI ;Puteaux - 92 ;Minimum 3 ans;40;70
LEO INTERNATIONAL;45 - 75 k€ brut annuel ;over. Vous travaillerez avec une équipe composée de consultants, data scientists, créatifs et ingénieurs pour identifier les besoins de vos clients et définir des solutions innovantes. - Construire. Vous vous approprierez la solution du début à la fin. Vous gérerez à la fois la...;CDI ;Maroc ;Minimum 5 ans;45;75
UMANIS;30 - 50 k€ brut annuel ;Dans le cadre du développement de notre activité, nous recherchons des DATA ANALYST(H/F) pour intervenir auprès de nos clients.  ?? Vos missions :  Développer les activités de data science appliquées à l’IT : maintenance prédictive, efficacité opérationnelle, capacity management...;CDI ;Lyon 09 - 69 ;Minimum 2 ans;30;50
LE16IT;45 - 60 k€ brut annuel ;Dans le cadre de leur développement d'équipe, vous viendrez compléter cette dernière, composée de 6 ingénieurs DevOps, et participer au bon fonctionnement de ce groupe. Cette équipe est gérée par un Product Owner.  Votre objectif principal sera l'unification et l'automatisation...;CDI ;Courbevoie - 92 ;Minimum 2 ans;45;60
SCIENT;A partir de 50 k€ brut annuel ;Nous cherchons un (e) Data Engineer (H/F)    En tant que Data Engineer, votre mission sera de construire et d'étendre la plateforme de données de notre client, utilisée intensivement par toutes les équipes internes, en soutenant plusieurs domaines (BI, Data Insights, Products...;CDI ;Paris 08 - 75 ;Minimum 3 ans;50;50
ACTIVUS GROUP;45 - 50 k€ brut annuel ;Pour renforcer notre pôle IA & Big Data , nous recrutons en CDI un(e) Ingénieur Data expert Cloud Azure à Toulouse .   Votre rôle et vos principales missions si vous les acceptez !  Participer à des POCs (Proof Of Concept) ou POVs (Proof Of Value) permettant de valider les...;CDI ;Toulouse - 31 ;Minimum 3 ans;45;50
MINISTERE DES ARMEES;19 - 55 k€ brut annuel ;En collaboration avec les experts métiers des autres sous-directions de la DMAé, vous intervenez dans le cadre du MCO aéronautique en lien avec les 3 armées (terre, air, marine), la DGA, l’EMA et la DGNUM pour l’exécution des missions contribuant à amener la DMAé à devenir une...;CDI ;Mérignac - 33 ;Tous niveaux d'expérience acceptés;19;55
SCIENT;A partir de 45 k€ brut annuel ;Nous cherchons un (e) Data Engineer confirmé (H/F).     À ce titre, vous aurez pour missions :  - Concevoir des modèles efficaces pour stocker et analyser des téraoctets de données.  - Mettre en œuvre des flux d'acquisition et de transformation complexes.  - Construire des...;CDI ;Paris 08 - 75 ;Minimum 5 ans;45;45
EXTERNATIC;70 - 80 k€ brut annuel ;Le poste, en résumé  Data Valuation Manager H/F - CDI basée à Bruges - Télétravail partiel possible  Environnement global : Industriel innovant et ambitieux dans un contexte de forte croissance  Rémunération : rém ouverte    Le département Data Managment nouvellement créée sous...;CDI ;Bordeaux - 33 ;Aucune expérience exigée;70;80
SILKHOM;45 - 60 k€ brut annuel ;Au sein de l’équipe R&D de 26 personnes travaillant selon la méthodologie Agile (Extreme Programming/Scrum), vous élaborez des évolutions techniques sur la plateforme de l’entreprise.  Vos missions principales sont les suivantes :  -Implémenter et intégrer des solutions à...;CDI ;Grenoble - 38 ;Minimum 3 ans;45;60
SILKHOM;45 - 60 k€ brut annuel ;Au sein de l’équipe R&D de 26 personnes travaillant selon la méthodologie Agile (Extreme Programming/Scrum), vous élaborez des évolutions techniques sur la plateforme de l’entreprise.  Vos missions principales sont les suivantes :  -Implémenter et intégrer des solutions à...;CDI ;Échirolles - 38 ;Minimum 3 ans;45;60
Dagmara OLEJARCZYK-GONCALVES;32 - 40 k€ brut annuel ;Dans le cadre de notre croissance, nous renforçons la structure Recrutement de notre établissement de Paris.   Au cœur de l’activité de l’entreprise, le Pôle du Recrutement intervient sur la détection et le recrutement des talents de demain. Au sein de l’équipe, vous serez...;CDI ;Paris 16 - 75 ;Minimum 2 ans;32;40
CORSAIR System;A partir de 38 k€ brut annuel ;La société Aéronautique souhaite s'appuyer sur un prestataire compétent pour mener une série d'études, de construction, et d'amélioration des pipelines data pour le développement des services digitaux visant à valoriser les données industrielles générées par les activités du...;CDI ;Saclay - 91 ;Minimum 4 ans;38;38
Bigoud Technologies;30 - 40 k€ brut annuel ;En tant que développeur Java, vos missions seront les suivantes :  Participer à l'évolution du SI en place.  Développer des API JAVA.  Permettre la mise à disposition de données en travaillant autour de l'architecture technique.  Collaborer et communiquer avec les data...;CDI ;Brest - 29 ;Minimum 2 ans;30;40
FILIGRANE RECRUTEMENT;55 - 65 k€ brut annuel ;Dans le cadre de la croissance d'activité de notre client, nous recherchons un Lead Developer (F/H) passionné d’innovation digitale.  Plateformes tournées autour d’un projet commun : faciliter l’expérience utilisateur.  Au sein des équipes, les développeurs sont pleinement...;CDI ;Paris 12 - 75 ;Minimum 5 ans;55;65
John Paul;35 - 55 k€ brut annuel ;VOTRE MISSION  Vous aimez la donnée sous toutes ses formes (structurée et non structurée), de tous origines (conciergerie, web-analytique, CRM, téléphonie, réseaux sociaux, open data…), sur tout son cycle (collecte, transformation, utilisation, amélioration). La transmission de...;CDI ;Paris 03 - 75 ;Minimum 3 ans;35;55
TechByTech;45 - 50 k€ brut annuel ;"?? Votre quotidien en tant que DevOps :  Pour renforcer son équipe en charge du produit, notre client cherche à recruter un.e DevOps, dont les missions seront les suivantes :  Développer et maintenir à jour les pipelines GitOps de différents modules à forte composante; Data (ils...";CDI ;Paris 09 - 75 ;Minimum 1 an;45;50
HELLOWORK;35 - 45 k€ brut annuel ;L’activité EdTech du groupe Hellowork regroupe 2 plateformes incontournables : MaFormation.fr et Diplomeo.com qui réunissent 3 millions de visiteurs chaque mois.  70 collaborateurs accompagnent la montée en puissance de cette activité au sein du groupe dans un contexte de...;CDI ;Rennes - 35 ;Minimum 7 ans;35;45
TALENTS RH;55 - 60 k€ brut annuel ;Leader Européen en Cyber Sécurité, notre partenaire est un prestataire de services (conseil, audit, MSSP) et un éditeur de logiciels innovants : scanner de vulnérabilités et détecteur de menaces avancées par analyse comportementale.  Missions :  Intégré à l'équipe R&D, vous...;CDI ;Toulouse - 31 ;Minimum 5 ans;55;60
L2C;55 - 62 k€ brut annuel ;"Rattaché(e) au CTO, vous rejoindrez une équipe d’une dizaine de personnes (développeurs back, front, data scientist, QA, lead dev…)   Vous travaillerez au quotidien de façon étroite avec le Lead Backet les opérations; Vous interviendrez sur le moteur de la solution principale;...";CDI ;Paris 01 - 75 ;Minimum 5 ans;55;62
CAISSE CENTRALE DE MUTUALITE SOCIALE AGRICOLE;35 - 40 k€ brut annuel ;La personne retenue sera intégrée au sein d’une équipe de 4 personnes. Ses principales missions seront les suivantes :  Administrer et développer l’outil institutionnel de cartographie GéoMSA :  Mettre à jour les référentiels géographiques et les fonds de carte,  Alimenter...;CDD ;Bobigny - 93 ;Tous niveaux d'expérience acceptés;35;40
Eni Gas & Power France;40 - 50 k€ brut annuel ;Au sein de la BU DATA et en collaboration avec les autres membres de l’équipe (Data Engineer, Data Analyst, Data Scientist, Gouvernance de la donnée), vous serez :  Responsable de la mise en œuvre des traitements informatiques de collecte, de stockage et de transformation des...;CDI ;Levallois-Perret - 92 ;Minimum 5 ans;40;50
DOWO;50 - 61 k€ brut annuel ;Nous recherchons des Data Ingénieurs   Missions :  Conception de solutions permettant le traitement de volumes importants de pipelines données.  Ceux-ci doivent être suffisamment sécurisés et lisibles pour les Data Analysts et Data Scientists. Animation d’une équipe de...;CDI ;Paris 01 - 75 ;Minimum 4 ans;50;61
WEB-TRANSITION;30 - 34 k€ brut annuel ;"Vos missions :  En tant que Talent Acquisition Specialist, vous assurez et coordonnez l’activité recrutement de notre agence parisienne.  · Vous travaillez en collaboration avec les Business Manager à la compréhension et à l’analyse de leurs besoins ;  · Vous identifiez et...";CDI ;Boulogne-Billancourt - 92 ;Tous niveaux d'expérience acceptés;30;34
Effektiv;35 - 36 k€ brut annuel ;Rattaché au pôle digital compose de 3 développeurs aux profils variés (Full Stack / DevOps / Data Scientist Python ), tu participeras au développement de lensemble des plateformes digitales afin de répondre aux besoins des partenaires et adhérents.  Tu travailles en particulier...;CDI ;Lyon 01 - 69 ;Minimum 2 ans;35;36
Yupeek;40 - 60 k€ brut annuel ;Nous recherchons un(e) Ingénieur(e) DevOps F/H pour rejoindre notre équipe basée à Lyon , vous pourrez mettre en pratique vos acquis, développer de nouvelles compétences techniques et fonctionnelles. De ce fait, vous serez en charge des missions suivantes : Définir...;CDI ;Lyon 02 - 69 ;Tous niveaux d'expérience acceptés;40;60
GAC TECHNOLOGY;32 - 35 k€ brut annuel ;Tes principales missions seront les suivantes :  - Créer des scripts afin de mesurer la pertinence et la précision des données  - Participer au choix des technologies  - Concevoir et développer toutes les fonctionnalités techniques  - Créer et dérouler les tests de validation...;CDI ;Lyon 09 - 69 ;Minimum 2 ans;32;35
ARKADIA;34 - 44 k€ brut annuel ;Pour l'un de nos clients dans le secteur de l'énergie, nous recherchons notre futur collaborateur pour un poste d'appui au pilotage d'un projet de transformation SI planification, utilisé sur l'ensemble du parc de la DPN (Division de Production Nucléaire).  La personne sera en...;CDI ;Saint-Denis - 93 ;Tous niveaux d'expérience acceptés;34;44
HELLOWORK;34 - 42 k€ brut annuel ;Imaginez intégrer HelloWork : une entreprise française pionnière dans le digital, qui prône le partage d’expérience, la convivialité et l’agilité pour une meilleure performance !  Ajoutez un poste de Développeur web PHP vous offrant la possibilité de travailler sur VOTRE...;CDI ;Rennes - 35 ;Minimum 1 an;34;42
Work&You;40 - 50 k€ brut annuel ;"#çamatchentrenous  ? 5ème Laboratoire Pharmaceutique Vétérinaire Mondial ? Des projets innovants ? Poste 100% en télétravail  ?? "" L’aventure a commencé pour nous en 1999, nous sommes l'un des acteurs les plus dynamiques parmi les 10 principaux groupes pharmaceutiques...";CDI ;Bordeaux - 33 ;Minimum 1 an;40;50
Work&You;40 - 50 k€ brut annuel ;"#çamatchentrenous  ? 5ème Laboratoire Pharmaceutique Vétérinaire Mondial ? Des projets innovants ? Poste 100% en télétravail  ?? "" L’aventure a commencé pour nous en 1999, nous sommes l'un des acteurs les plus dynamiques parmi les 10 principaux groupes pharmaceutiques...";CDI ;Bordeaux - 33 ;Minimum 1 an;40;50
Work&You;40 - 50 k€ brut annuel ;"#çamatchentrenous  ? 5ème Laboratoire Pharmaceutique Vétérinaire Mondial ? Des projets innovants ? Poste 100% en télétravail  ?? "" L’aventure a commencé pour nous en 1999, nous sommes l'un des acteurs les plus dynamiques parmi les 10 principaux groupes pharmaceutiques...";CDI ;Bordeaux - 33 ;Minimum 1 an;40;50
Effektiv;45 - 50 k€ brut annuel ;Rattaché au pôle digital compose de 3 développeurs aux profils variés ( Full Stack / DevOps / Data Scientist Python ), tu participeras au développement de lensemble des plateformes digitales afin de répondre aux besoins des partenaires et adhérents.  Tu travailles en particulier...;CDI ;Lyon 01 - 69 ;Minimum 2 ans;45;50
LUCINE;A partir de 30 k€ brut annuel ;"Vos missions, sous la direction de la Responsable des essais cliniques :   Coordonner et suivre les études cliniques  Assurer le suivi des centres en France et à l’international,; Assurer le suivi des intervenants et des partenaires cliniques,; Reporter au Responsable des études...";CDI ;Bordeaux - 33 ;Minimum 2 ans;30;30
AQUANTIS;45 - 50 k€ brut annuel ;Au sein du pôle média, en collaboration directe avec les pôles Marketing, Edito et Design, vous serez en charge des achats d'espaces publicitaires du groupe et notamment du media digital pour les plateformes Web et mobiles de la marque. Vous serez notamment en charge des...;CDI ;Paris 01 - 75 ;Minimum 1 an;45;50
MARGO CONSEIL;40 - 70 k€ brut annuel ;?? Exemple de projet proposé par Margo :  En intégrant Margo, vous aurez le choix des missions sur lesquelles vous souhaitez travailler. Vous serez accompagné par notre équipe de Business Managers, dont le rôle est de rechercher le projet client qui correspondra le plus à vos...;CDI ;Paris 08 - 75 ;Minimum 1 an;40;70
NewNet3D;A partir de 30 k€ brut annuel ;Vos missions :  Afin d’orienter les équipes commerciales et marketing dans la prise de décisions stratégiques et à mettre en œuvre de manière efficiente l’ensemble des actions réalisées par les acteurs de promotion.  À ce titre, votre mission principale sera de comprendre les...;CDD ;Lille - 59 ;Tous niveaux d'expérience acceptés;30;30
LUCINE;A partir de 40 k€ brut annuel ;"Sous la responsabilité du CTO, vos missions seront :  Maintenir les conditions opérationnelles du SI, dans le but d’accompagner et de sécuriser l’entreprise..     Sécurité :  S’assurer de la sécurité du SI dans le respect des bonnes pratiques édictées par l’ANSSI,;...";CDI ;Bordeaux - 33 ;Minimum 5 ans;40;40
SILKHOM;35 - 45 k€ brut annuel ;Vous aurez pour responsabilités :  - Développer les fonctionnalités  - Intégrer les nouvelles fonctionnalités algorithmiques issues des travaux des Data Scientists  - Être force de proposition sur l’amélioration de l’architecture  - Elaborer les différentes phases de test  -...;CDI ;Grenoble - 38 ;Minimum 2 ans;35;45
COELIENCE;A partir de 80 k€ brut annuel ;Au sein de la Direction Pilotage et Rentabilité Technique, vous serez Responsable d'une équipe de 4 personnes et aurez la charge des missions suivantes :  1. Pilotage technique et renouvellement :  Le renouvellement annuel des contrats et le pilotage technique des risques sont...;CDI ;Paris 09 - 75 ;Minimum 8 ans;80;80
autobiz;A partir de 20 k€ brut annuel ;Dans le cadre du développement de ses activités, AUTOBIZ recherche un(e) Chef de projet digital. Rattaché(e) à la Business Unit « Digital Squad », vous participerez aux projets des activités B2B et B2C sur le marché français et européen, et vous assurerez une activité de conseil...;CDI ;Courbevoie - 92 ;Minimum 4 ans;20;20
autobiz;A partir de 20 k€ brut annuel ;Dans le cadre du développement de ses activités, AUTOBIZ recherche un(e) CHEF DE PROJET DIGITAL ADVANCED. Rattaché(e) à la Business Unit « Digital Squad », vous participerez aux projets des activités B2B et B2C sur le marché français et européen, et vous assurerez une activité...;CDI ;Courbevoie - 92 ;Minimum 4 ans;20;20
GROUPE PRINTEMPS;A partir de 35 k€ brut annuel ;Le Data Analyst Performances CRM aura pour mission d'accompagner les Ã©quipes CRM pour la mise en oeuvre de la stratÃ©gie de Marketing Relationnel afin d'Ãªtre garante de leur bonne exÃ©cution des campagnes et de l'optimisation continue de leurs performances. Â Vos missions :...;CDI ;Paris 09 - 75 ;Minimum 2 ans;35;35
INDEPBOX;42 - 48 k€ brut annuel ;Comwatt renforce son équipe de développement en 2021 pour offrir à ses utilisateurs toujours plus de fonctionnalités, de simplicité d’usage, de sécurité … et d’économies !   Vos missions :  Permettre à nos clients de monitorer et gérer à distance leur production photovoltaïque...;CDI ;Montpellier - 34 ;Minimum 5 ans;42;48
TechByTech;45 - 50 k€ brut annuel ;?? Votre quotidien en tant que Développeur.se :  Pour renforcer son équipe en charge de la collecte, la société cherche à recruter un(e) développeur, expert en scraping, dont les missions seront les suivantes :  Développement de nouveaux scrapers, de l’analyse préalable du site...;CDI ;Paris 09 - 75 ;Minimum 1 an;45;50
(Confidentielle);50 - 150 k€ brut annuel ;Nous recherchons pour plusieurs de nos clients au CANADA francophone et anglophone, des spécialistes Murex - analystes et développeurs.    Les missions assurées par les candidats retenus seront les suivantes :  L’analyse des besoins (Front to Back) des demandes d'évolutions...;CDI ;France Métropolitaine ;Minimum 3 ans;50;15
CNAV;37 - 38 k€ brut annuel ;Au sein de la Direction Statistique Prospective et Recherche, la sous-direction Appui Statistique à la branche est composée d’un responsable et de huit chargés d’études statistiques et data scientists. Elle a pour mission d’apporter des éléments d’aide à la décision aux...;CDI ;Paris 19 - 75 ;Tous niveaux d'expérience acceptés;37;38
ExactCure;38 - 50 k€ brut annuel ;En tant que développeur Full Stack au sein d’ExactCure, vous serez amené à accomplir différentes missions :  - Assurer le développement PHP/Laravel des applications d’ExactCure  - Assurer le développement Javascript de l’interface WEB d’ExaMed  - Assurer la rédaction de...;CDI ;Nice - 06 ;Minimum 4 ans;38;50
HELLOWORK;35 - 45 k€ brut annuel ;Avec le CPF, la recherche de Formation professionnelle est devenue un enjeu important pour plus de 20 millions de français.  Hellowork a développé la première plateforme de mise en relation en France, et mets en relation plus de 2 000 candidats par jour avec des organismes de...;CDI ;Rennes - 35 ;Aucune expérience exigée;35;45
DAVIDSON TRANSPORTS;32 - 46 k€ brut annuel ;Afin de renforcer nos équipes rennaises, nous recherchons un ingénieur Cloud Computing appliquée à l'IA.  Il aura pour mission d’industrialiser les solutions logicielles développées au sein d'un laboratoire d'Intelligence Artificielle. Celles-ci couvrent des domaines...;CDI ;Rennes - 35 ;Minimum 1 an;32;46
SILKHOM;35 - 45 k€ brut annuel ;Le projet : concevoir et développer le moteur de l’application principale de prédiction de pannes. Il s’agit d’une application permettant à la fois de produire des modèles prédictifs et de les exécuter en temps réel ou en temps différés pour détecter des défaillances et établir...;CDI ;Grenoble - 38 ;Minimum 2 ans;35;45
Epiconcept;35 - 45 k€ brut annuel ;Votre mission:  Sous la responsabilité du responsable de la BU Projet, vous êtes chargé.e d'installer et de paramétrer les applications et de les adapter aux exigences du client ainsi que de former et d’accompagner les administrateurs des applications. Vous assistez les Chefs de...;CDI ;Paris 11 - 75 ;Aucune expérience exigée;35;45
